,DATE,PTS,AST,TRB,Player,Position
446,2000-12-28,0.19523326708051197,-0.30154370501609556,0.5270364827632141,Chris Webber,4
447,2000-12-28,-0.7678908585785247,-0.6197331347252238,0.08280633775213675,Jason Kidd,8
448,2000-12-28,-1.6240011924976683,2.5621611623660594,-1.471999169786634,John Stockton,17
449,2000-12-28,-0.4468494833588458,-0.30154370501609556,0.08280633775213675,Karl Malone,7
450,2000-12-28,0.6232884340400838,-1.2561119941434804,0.08280633775213675,David Robinson,10
451,2000-12-28,0.3022470588204049,0.3348351544021611,-0.1393087347534019,Tim Duncan,2
452,2000-12-29,-1.4099736090178825,0.3348351544021611,-1.6941142422921727,John Stockton,17
453,2000-12-29,-1.0889322337982035,-0.30154370501609556,0.30492141025767544,Karl Malone,7
454,2000-12-29,-0.33983569161895283,-0.30154370501609556,0.7491515552687528,Anthony Mason,16
455,2000-12-30,-0.23282189987905988,-0.9379225644343522,0.5270364827632141,Anthony Mason,16
456,2000-12-30,0.5162746423001908,1.289403443529546,-0.3614238072589406,Jason Kidd,8
457,2000-12-30,1.3723849762193345,0.6530245841112894,-0.3614238072589406,Jerry Stackhouse,14
458,2000-12-30,-0.6608770668386317,-0.30154370501609556,0.5270364827632141,Kevin Garnett,5
459,2000-12-30,0.7303022257799767,-0.30154370501609556,0.5270364827632141,Chris Webber,4
460,2000-12-30,-0.7678908585785247,-0.30154370501609556,-1.0277690247755566,Paul Pierce,13
461,2000-12-30,-1.5169874007577755,-0.9379225644343522,-0.5835388797644793,Tim Duncan,2
462,2000-12-30,-0.7678908585785247,-1.2561119941434804,0.30492141025767544,David Robinson,10
463,2000-12-30,0.4092608505602979,0.6530245841112894,0.08280633775213675,Ray Allen,11
464,2000-12-30,-0.33983569161895283,0.6530245841112894,-0.1393087347534019,Tracy McGrady,6
465,2000-12-30,-0.5538632750987388,0.3348351544021611,-0.5835388797644793,Kobe Bryant,9
466,2000-12-30,2.549536685358157,0.3348351544021611,-0.3614238072589406,Vince Carter,12
467,2000-12-30,2.549536685358157,1.289403443529546,0.30492141025767544,Allen Iverson,1
468,2000-12-30,1.0513436009996557,-0.9379225644343522,0.30492141025767544,Michael Finley,15
469,2000-12-31,0.3022470588204049,-1.2561119941434804,-1.0277690247755566,Jerry Stackhouse,14
470,2001-01-01,-0.1258081081391669,0.6530245841112894,0.30492141025767544,Kevin Garnett,5
471,2001-01-02,-1.0889322337982035,3.8349188812025727,-1.2498840972810952,Jason Kidd,8
472,2001-01-02,-0.6608770668386317,-0.6197331347252238,-0.5835388797644793,Ray Allen,11
473,2001-01-02,-0.4468494833588458,-1.2561119941434804,0.5270364827632141,David Robinson,10
474,2001-01-02,-0.7678908585785247,-0.30154370501609556,0.5270364827632141,Tim Duncan,2
475,2001-01-02,0.8373160175198697,-0.9379225644343522,-0.3614238072589406,Paul Pierce,13
476,2001-01-02,-2.1590701511971333,-0.6197331347252238,-1.6941142422921727,Chris Webber,4
477,2001-01-02,0.9443298092597627,-0.9379225644343522,-0.8056539522700179,Kevin Garnett,5
478,2001-01-02,-0.8749046503184176,-0.30154370501609556,0.9712666277742914,Anthony Mason,16
479,2001-01-02,0.3022470588204049,-0.6197331347252238,-0.1393087347534019,Vince Carter,12
480,2001-01-02,-0.5538632750987388,-0.9379225644343522,0.30492141025767544,Tracy McGrady,6
481,2001-01-03,-0.1258081081391669,0.9712140138204177,-1.2498840972810952,Allen Iverson,1
482,2001-01-03,-0.8749046503184176,0.016645724693032767,-0.3614238072589406,Karl Malone,7
483,2001-01-03,-0.6608770668386317,-0.9379225644343522,-1.0277690247755566,Paul Pierce,13
484,2001-01-03,1.3723849762193345,-0.30154370501609556,-1.0277690247755566,Michael Finley,15
485,2001-01-03,0.9443298092597627,-0.30154370501609556,-0.8056539522700179,Kobe Bryant,9
486,2001-01-03,1.1583573927395485,0.9712140138204177,-0.1393087347534019,Jerry Stackhouse,14
487,2001-01-03,-1.1959460255380965,0.016645724693032767,-1.0277690247755566,John Stockton,17
488,2001-01-03,-1.0889322337982035,1.9257823029478027,-1.2498840972810952,Jason Kidd,8
489,2001-01-03,0.3022470588204049,-0.30154370501609556,-0.8056539522700179,Ray Allen,11
490,2001-01-04,1.4793987679592275,-0.6197331347252238,-1.0277690247755566,Tracy McGrady,6
491,2001-01-04,2.549536685358157,-0.9379225644343522,-1.6941142422921727,Jerry Stackhouse,14
492,2001-01-04,-0.4468494833588458,0.016645724693032767,1.1933817002798301,Anthony Mason,16
493,2001-01-04,-0.9819184420583106,0.3348351544021611,-0.3614238072589406,Kevin Garnett,5
494,2001-01-05,1.4793987679592275,-0.6197331347252238,0.08280633775213675,Paul Pierce,13
495,2001-01-05,3.0846056440576217,0.016645724693032767,4.080877642851833,Chris Webber,4
496,2001-01-05,1.1583573927395485,-0.9379225644343522,0.08280633775213675,Vince Carter,12
497,2001-01-05,-1.1959460255380965,2.880350592075188,0.5270364827632141,Jason Kidd,8
498,2001-01-05,-0.4468494833588458,-0.30154370501609556,-0.8056539522700179,Ray Allen,11
